#nodeA	nodeB	score1
C06800	C19586	null
C06800	C19595	null
C16756	C19594	null
C19586	C19588	null
C06868	C07496	null
C06899	C07490	null
C06899	C11150	null
C07490	C14869	null
C07054	C07585	null
C07073	C16560	null
C07073	C16561	null
C07090	C07091	null
C07447	C16622	null
C07480	C16360	null
C07481	C13747	null
C13747	C16356	null
C13747	C16358	null
C13747	C16365	null
C07535	C14849	null
C07535	C14850	null
C07535	C14851	null
C14850	C14852	null
C16612	C16609	null
C07645	C07646	null
C07645	C16551	null
C07648	C16619	null
C16619	C16620	null
C07649	C16633	null
C07649	C16634	null
C16633	C16634	null
C15783	C15782	null
C09819	C09820	null
C11038	C11039	null
C11522	C15776	null
C11522	C15777	null
C15777	C15778	null
C15777	C15780	null
C11523	C15782	null
C11945	C11947	null
C11947	C11946	null
C12214	C12215	null
C12834	C12835	null
C16358	C16359	null
C14040	C14800	null
C14040	C14802	null
C14800	C14801	null
C14089	C14090	null
C14556	C14854	null
C14818	C14819	null
C14839	C14844	null
C14840	C14842	null
C14852	C14853	null
C15518	C17331	null
C15520	C17332	null
C15573	C15574	null
C15575	C15576	null
C15577	C15578	null
C15613	C17343	null
C15785	C15786	null
C15796	C15797	null
C15811	C15812	null
C15972	C15973	null
C15972	C15975	null
C15972	C15977	null
C15972	C15979	null
C16014	C16015	null
C16168	C16374	null
C16172	C16387	null
C16237	C16240	null
C16237	C16832	null
C16327	C16328	null
C16328	C16329	null
C16331	C16332	null
C16332	C16333	null
C16335	C16336	null
C16336	C16337	null
C16353	C16355	null
C16396	C16420	null
C16453	C19563	null
C16453	C19566	null
C16453	C19574	null
C19574	C19577	null
C19574	C19580	null
C19574	C19605	null
C19574	C19606	null
C16468	C16469	null
C16546	C16547	null
C16586	C16587	null
C16587	C16591	null
C16595	C16596	null
C16630	C16631	null
C16675	C20446	null
C17335	C17337	null
C17345	C17346	null
C17554	C17559	null
C17560	C17561	null
C18242	C18243	null
C18304	C18305	null
C18309	C18310	null
C19080	C19085	null
C19488	C19489	null
C19488	C19604	null
C19489	C19490	null
C19604	C19607	null
C19490	C19559	null
C19858	C19859	null
C19967	C19968	null
C19968	C20176	null
C19969	C19970	null
C20458	C20459	null
C20649	C20659	null
C20649	C20661	null
C20659	C20660	null
C20675	C20676	null
