#nodeA	nodeB	score1
C02999	C02713	null
C03227	C00632	null
C00042	C00122	null
C00122	C03406	null
C00122	C03794	null
C00122	C04823	null
C00043	C00203	null
C00043	C00645	null
C00043	C01170	null
C00043	C04501	null
C00645	C00140	null
C00645	C01170	null
C00645	C04257	null
C00046	C02073	null
C00047	C01931	null
C00047	C05341	null
C00047	C05552	null
C01931	C01646	null
C05341	C00099	null
C05552	C00120	null
C00048	C00160	null
C00048	C03303	null
C00160	C00988	null
C03303	C02179	null
C03303	C02303	null
C00152	C03402	null
C00438	C00169	null
C00438	C00337	null
C02984	C01638	null
C03406	C00062	null
C03406	C00327	null
C04540	C01239	null
C04823	C04677	null
C04823	C04751	null
C01031	C00058	null
C01031	C14180	null
C02166	C00909	null
C03451	C00256	null
C03451	C00546	null
C03899	C02929	null
C11278	C19586	null
C11583	C07645	null
C14791	C14786	null
C14792	C14787	null
C14793	C14787	null
C14803	C14802	null
C14804	C14802	null
C14805	C14800	null
C14806	C14800	null
C14847	C14839	null
C14848	C14840	null
C14855	C14851	null
C14856	C14852	null
C14861	C14858	null
C14863	C14865	null
C14864	C14859	null
C14865	C14857	null
C14868	C06790	null
C14871	C14870	null
C14874	C11088	null
C00446	C00124	null
C00053	C00054	null
C00053	C00224	null
C00224	C00059	null
C00058	C00234	null
C00058	C05648	null
C00058	C05653	null
C00058	C11439	null
C00058	C15606	null
C00234	C00101	null
C00234	C00445	null
C05648	C05651	null
C05653	C00108	null
C11439	C11440	null
C15606	C01180	null
C15606	C08276	null
C15606	C15650	null
C00061	C00255	null
C00255	C01007	null
C00062	C00077	5.41403167227253
C00062	C00086	null
C00062	C00179	null
C00062	C00327	6.52563899285349
C00062	C01201	null
C00062	C02163	null
C00062	C05340	null
C00077	C00134	null
C00077	C01165	null
C00077	C04322	null
C00327	C03626	null
C01201	C00301	null
C02163	C01636	null
C05340	C00099	null
C00352	C00085	-0.875514802268016
C00352	C00329	null
C02282	C01640	null
C02282	C06112	null
C03090	C00119	null
C00740	C02532	null
C01005	C03232	null
C02553	C01650	null
C02737	C00162	null
C02737	C00350	-1.13176823520515
C02737	C05974	null
C02934	C00154	null
C02934	C00836	null
C04377	C01217	null
C06481	C16636	null
C06481	C16638	null
C00066	C03880	null
C03880	C03523	null
C00068	C00378	null
C00068	C03028	null
C00068	C13378	null
C00068	C15974	null
C00068	C15976	null
C00068	C15978	null
C15974	C00233	null
C15974	C15975	null
C15976	C00141	null
C15976	C15977	null
C15978	C00671	null
C15978	C15979	null
C00071	C00162	null
C00071	C00226	null
C00071	C00375	null
C00162	C00157	0.463429712671718
C00162	C00195	null
C00162	C00350	null
C00162	C00422	null
C00162	C00641	null
C00162	C00958	null
C00162	C01885	null
C00162	C01958	null
C00162	C02112	null
C00162	C04230	null
C00162	C04233	null
C00162	C04438	null
C00162	C05973	null
C00162	C11547	3.13506111748707
C00162	C12126	null
C00162	C12145	null
C02430	C01647	null
C02430	C03294	null
C00631	C00197	null
C00134	C00315	null
C00134	C00612	null
C00134	C02714	null
C00078	C00331	null
C00078	C03512	null
C03512	C01652	null
C00079	C00166	null
C00079	C02505	null
C00079	C03511	null
C00166	C02763	null
C03511	C01648	null
C00082	C01179	null
C00082	C01392	null
C00082	C02839	null
C01179	C05350	null
C01392	C05234	null
C02839	C00787	null
C00288	C00683	null
C00288	C03231	null
C01209	C05744	null
C01209	C05746	null
C01209	C05750	null
C01209	C05753	null
C01209	C05756	null
C01209	C05759	null
C01209	C05762	null
C01209	C16219	null
C01209	C20372	null
C01209	C20376	null
C00673	C00118	null
C00673	C01801	null
C04895	C03684	null
C04895	C20239	null
C00085	C00095	null
C00085	C00118	null
C00085	C00275	null
C00085	C00279	null
C00085	C00354	null
C00085	C00665	0.767065331828971
C00095	C01094	null
C00118	C00111	null
C00118	C00231	null
C00118	C00236	null
C00118	C00354	null
C00275	C00159	null
C00275	C00636	null
C00279	C00447	null
C00279	C05382	null
C00354	C00111	null
C00087	C00094	null
C00492	C00124	null
C00492	C01613	null
C00090	C01502	null
C00090	C04221	null
C01213	C00683	null
C01213	C06002	null
C01236	C00345	-0.593563709889576
C04006	C00137	null
C04006	C04063	null
C00093	C00111	null
C00093	C00116	null
C00093	C00513	null
C00093	C00681	null
C00093	C03892	null
C00111	C00184	null
C00111	C00447	null
C00111	C01094	null
C00111	C03372	null
C00116	C00422	null
C00116	C00577	null
C00116	C01885	null
C00116	C02112	null
C00116	C05401	null
C00681	C00416	null
C00681	C01885	null
C03892	C00269	null
C01094	C00577	null
C00096	C00636	null
C00096	C01222	null
C01222	C00325	null
C01222	C14830	null
C00606	C00519	null
C00606	C05527	null
C00957	C05823	null
C03125	C01639	null
C04352	C01134	null
C04352	C03492	null
C04352	C04079	null
C06751	C07330	null
C19691	C03461	null
C00099	C00386	null
C00099	C01262	null
C00099	C05665	null
C00386	C00135	null
C01262	C01152	null
C05665	C00750	null
C00100	C00163	null
C00100	C00683	null
C00100	C00894	null
C00100	C02557	null
C00100	C03344	null
C00100	C05449	null
C00100	C05467	null
C00100	C06002	null
C00894	C05668	null
C03344	C04405	null
C05449	C05337	null
C05449	C05448	null
C05467	C01794	null
C05467	C05450	null
C06002	C02170	null
C06002	C06001	null
C00101	C00143	null
C00101	C00440	null
C00101	C00445	null
C00101	C00504	null
C00143	C00440	null
C00143	C00445	null
C00445	C03479	null
C00106	C00299	null
C00106	C00526	null
C00109	C00332	null
C00109	C05984	null
C00332	C01144	null
C00110	C00381	null
C00110	C00621	null
C00110	C01246	null
C00110	C03862	null
C00110	C04500	null
C00621	C04213	null
C04500	C04537	null
C00447	C05382	null
C03372	C03129	null
C03372	C03715	null
C00114	C00157	null
C00114	C00576	null
C00114	C00588	null
C00157	C00219	0.463429712671718
C00157	C00416	null
C00157	C00641	null
C00157	C00670	null
C00157	C01595	0.463429712671718
C00157	C04230	0.463429712671718
C00157	C04233	null
C00157	C06427	0.463429712671718
C00576	C00719	null
C00588	C00307	null
C00588	C00550	null
C00422	C00165	null
C00422	C00641	null
C00577	C00258	null
C01885	C00165	null
C01885	C00641	null
C02112	C00641	null
C02112	C03974	null
C05401	C00124	null
C00117	C00119	null
C00117	C00121	null
C00117	C00199	null
C00117	C00301	null
C00117	C05382	null
C00199	C00231	null
C00199	C00345	null
C00301	C13050	4.63941761065471
C00301	C16011	null
C00231	C00310	null
C00236	C00197	null
C00236	C01159	null
C00120	C01893	null
C00120	C04681	null
C00120	C04682	null
C00120	C04727	null
C00120	C04801	null
C04681	C04735	null
C04682	C04736	null
C04727	C04763	null
C04801	C04827	null
C00123	C00233	null
C00123	C02047	null
C02047	C01645	null
C00124	C01235	null
C00124	C01290	null
C00124	C01613	null
C00124	C01697	null
C00124	C02686	null
C00124	C04737	null
C00124	C04911	null
C00124	C05399	null
C00124	C05400	null
C00124	C05404	null
C00124	C05796	null
C00124	C06037	null
C00124	C06126	null
C00124	C06136	null
C01235	C00137	null
C01290	C04730	null
C01290	C04737	null
C01290	C04845	null
C01290	C06135	null
C02686	C00195	null
C02686	C06125	null
C02686	C06126	null
C02686	C06128	null
C04737	C03272	null
C04911	C04884	null
C04911	C04927	null
C04911	C06136	null
C04911	C06141	null
C05400	C00159	null
C06037	C03692	null
C06136	C06135	null
C00129	C00235	null
C00129	C00341	null
C00129	C00353	null
